id,title,description,link,image_link,availability,price,brand
13,NY Collection Petite Long Bell Sleeve Dress with Mesh Insets,"This is a sophisticated black midi dress from NY Collection features a body-skimming silhouette and long-sleeve with flared cuffs. It is accented with horizontal white stripe details at the upper chest and sleeve ends, adding a modern, graphic touch. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.",https://www.myacssstore.store/product/13,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38471984_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,58.00 USD,NY Collection
14,Pre-Owned Stella Mccartney Women's Logo Printed Jersey Jumper,Whether you want to go out on casual outings with friends or just want to lounge around this jumper is a versatile piece and can be styled in many ways. It has been made using fine fabric. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/14,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/38457832_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Stella McCartney
15,Pre-Owned Versace Women's Baroque Silk Lace Trim Camisole,Baroque scrolls sweep across this Versace silk camisole in white and gold framed by delicate lace trim. The fluid fabric layers smoothly under jackets or stands alone for night looks. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/15,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38457757_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,924.00 USD,Pre-Owned Versace
16,Pre-Owned Brunello Cucinelli Women's Linen Blend Straight Fit Trousers,The luxurious linen blend offers a perfect mix of comfort and sophistication while the zip closure ensures ease of wear. Designed with three convenient pockets Brunello Cucinelli these pants are ideal for a laid back afternoon or a chic casual event. The exquisite workmanship showcases a blend of premium materials promising both durability and a touch of grace in every step. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/16,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38457799_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,498.00 USD,Pre-Owned Brunello Cucinelli
17,Pre-Owned Stella Mccartney Women's Lace and Georgette Jumpsuit,Discover pure luxury and style with this Stella McCartney jumpsuit. Impeccably crafted it embodies sophistication and comfort making it the perfect choice to elevate your fashion game this season. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/17,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38457827_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Stella McCartney
18,Pre-Owned Brunello Cucinelli Women's Twill Drawstring Trousers,The Brunello Cucinelli Drawstring trousers are crafted from rich brown twill with a relaxed refined fit. Featuring an adjustable waist they combine comfort with elevated casual elegance. These luxury trousers are ideal for polished off duty and smart casual styling. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/18,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/38457781_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,498.00 USD,Pre-Owned Brunello Cucinelli
19,Pre-Owned Dolce & Gabbana Women's Satin And Cotton Knit Tank Top,A mix of satin and cotton knit gives this Dolce and Gabbana tank top a contrast in texture while keeping it comfortable. It can be worn on its own with jeans or layered under jackets fitting easily into both casual and slightly dressed up looks. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/19,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/38457910_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,554.00 USD,Pre-Owned Dolce & Gabbana
20,Pre-Owned Brunello Cucinelli Women's Gabardine Trousers,A straight composed silhouette gives these trousers lasting versatility across daily wear. The beige tone keeps the look open and adaptable working well with shirts knits and tailored jackets. Designed by Brunello Cucinelli they suit workdays travel and quiet social plans where ease and polish sit naturally together. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/20,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/38457793_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,498.00 USD,Pre-Owned Brunello Cucinelli
21,Pre-Owned Dolce & Gabbana Women's Chunky Knit Button Front Cardigan,Comfort meets luxury in this chunky knit cardigan from Dolce and Gabbana. The relaxed fit and button front design make it a cozy layer for cooler days. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/21,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38457884_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,500.00 USD,Pre-Owned Dolce & Gabbana
22,Pre-Owned Dolce & Gabbana Women's Knit Round Neck Jumper,Whether you want to go out on casual outings with friends or just want to lounge around this jumper is a versatile piece and can be styled in many ways. It has been made using fine fabric. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/22,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38457877_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,391.00 USD,Pre-Owned Dolce & Gabbana
23,Pre-Owned Versace Women's Denim and Mesh Paneled Slim Fit Jeans,Versace s slim fit jeans combine black denim with mesh panels. The contrasting textures and sharp tailoring highlight the maison s modern approach to denim bringing an elevated twist to a casual essential. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/23,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38453229_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Versace
24,Pre-Owned Moschino Women's Couture Printed Jersey Track Pants,Printed detailing brings bold character to these jersey track pants. The blue palette keeps styling energetic yet wearable. From Moschino Couture they pair naturally with fitted tops or coordinated separates for relaxed statement dressing. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/24,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38453224_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,311.00 USD,Pre-Owned Moschino
25,Pre-Owned Missoni Women's Gabardine Straight Fit Pants,The Missoni Straight Fit pants feature vibrant yellow gabardine for a bold yet polished look. Designed with a clean silhouette and lightweight structure they deliver comfort with signature Italian flair. These designer pants are perfect for statement daywear or elevated casual styling. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/25,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38453247_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,416.00 USD,Pre-Owned Missoni
26,Pre-Owned Isabel Marant Women's Etoile Printed Corduroy Perry Pants,Isabel Marant Etoile s Perry pants in multicolour printed corduroy bring the designer s boho meets Paris vibe to everyday dressing. The soft corduroy texture is balanced by a slim cut. Pair with a neutral blouse or oversized knit to let the print pop. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/26,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38450779_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,291.00 USD,Pre-Owned Isabel Marant
27,Pre-Owned Salvatore Ferragamo Women's Floral Gancini Print Denim Straight Jeans,These Salvatore Ferragamo jeans come in navy denim with a floral Gancini print that adds detail across the surface. The straight fit keeps them easy to wear working well with both casual tops and more elevated pieces. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/27,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/38450791_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,463.00 USD,Pre-Owned Salvatore Ferragamo
28,Pre-Owned Dolce & Gabbana Women's Denim Jeans,Daily routines find a dependable high quality base in these Dolce and Gabbana off white denim jeans. This neutral tone provides a fresh bright appearance for a morning commute or a casual lunch. Sturdy denim construction ensures a reliable feel that maintains its shape over time. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/28,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/38446120_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,498.00 USD,Pre-Owned Dolce & Gabbana
29,Pre-Owned Love Moschino Women's Cotton Knit Sequin Logo Embroidered Sweater Mini Dress,Elevate your everyday elegance with this gorgeous dress. Impeccably tailored for a great fit it offers exceptional comfort with premium materials. Versatile and timeless this dress effortlessly adapts to any occasion ensuring you always look and feel your best. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/29,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38426774_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,319.00 USD,Pre-Owned Love Moschino
30,Pre-Owned Love Moschino Women's Logo Embroidered Cotton Knit Sleeveless Mini Dress,Exhibit a stylish look by wearing this beautiful designer dress. Tailored using fine fabric this dress has a chic silhouette for a framing fit. Style the creation with chic accessories and pumps. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/30,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/38427218_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,319.00 USD,Pre-Owned Love Moschino
31,Pre-Owned Alexander Mcqueen Women's Powder Lurex Knit Tiered Mini Dress,Powder pink lurex knit gives this Alexander McQueen mini dress a soft shimmer while tiered detailing adds movement through the silhouette. The shorter cut keeps it fresh and youthful without losing elegance. Pair it with simple heels where the texture and tone can stand out naturally. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/31,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38426794_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,2184.00 USD,Pre-Owned Alexander McQueen
32,Pre-Owned Balenciaga Women's Floral Print Ruffled Drawstring Midi Dress,Balenciaga contrasts a fluid silhouette with a bold floral print in this midi dress. It has a tiered skirt panel with a drawstring detail that adds volume to the design. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/32,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38425894_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,661.00 USD,Pre-Owned Balenciaga
33,Pre-Owned Moncler Women's Cotton and Cashmere Blend Logo Applique Sweater Mini Dress,Moncler blends cotton and cashmere in this sweater mini dress creating a soft warm profile suited for transitional seasons. The black base sets the stage for a logo applique that adds a subtle branded accent. Style it with boots or sneakers for an easy polished cold weather outfit. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/33,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/38425866_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,415.00 USD,Pre-Owned Moncler
34,Pre-Owned Chloe Women's Pre-Owned Chloandeacute Crepe Pleated Strapless Mini Dress,This Chloe mini dress in dark purple crepe features a strapless neckline with pleated detailing that adds movement. Ideal for evening events or special occasions it pairs beautifully with heels and minimal accessories. A refined dress with graceful structure and modern appeal. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/34,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/38425878_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,448.00 USD,Pre-Owned Chloe
35,Pre-Owned Love Moschino Women's Floral Embroidered Cotton V-Neck Dress,Exhibit a stylish look by wearing this beautiful designer dress. Tailored using fine fabric this dress has a chic silhouette for a framing fit. Style the creation with chic accessories and pumps. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/35,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38425177_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,332.00 USD,Pre-Owned Love Moschino
36,Pre-Owned Chloe Women's Silk Loose Fit Mini Dress,This Chloe black dress brings minimal details and a loose fit silhouette. It is made from silk and is bound to give you comfort. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/36,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/38425168_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Chloe
37,Pre-Owned Dolce & Gabbana Women's Rhinestone Embellished Oversized Maxi Dress,This Dolce and Gabbana maxi dress exudes dramatic glamour with rhinestone accents and an oversized fit. Designed for those who dress to make a statement. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/37,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/38425226_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,2875.00 USD,Pre-Owned Dolce & Gabbana
38,Pre-Owned Jacquemus Women's Gabardine Cut-Out La Montagne Overall,This Jacquemus La Montagne overall in beige gabardine features cut out detailing that introduces sculptural structure to the silhouette. Suitable for fashion forward daytime wear creative settings or editorial street style it pairs well with fitted tops bralettes or sleek sandals. A directional piece that reflects Jacquemus modern design language. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/38,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/38423637_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Jacquemus
39,Pre-Owned Brunello Cucinelli Women's Cotton Belted Jumpsuit,This Brunello Cucinelli Jumpsuit is the embodiment of that effortless utilitarian grace. Crafted from a soft yet structured khaki cotton it features a clean button down front and a matching tie belt that allows you to define the silhouette or leave it loose and easy. With its rolled cuffs and thoughtful pocket placement it s a garment that invites you to move to explore and to live fully. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/39,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/38423622_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,441.00 USD,Pre-Owned Brunello Cucinelli
40,Pre-Owned Stella Mccartney Women's Striped Cotton Playsuit,Playful yet polished this Stella McCartney playsuit is crafted from soft breathable cotton in a subtle light grey stripe pattern. Featuring a relaxed silhouette short sleeves and a button front design it offers effortless style with a touch of tailored charm. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/40,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/38423630_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,332.00 USD,Pre-Owned Stella McCartney
41,Pre-Owned Zimmermann Women's Stripe Cotton Ruffled Maxi Skirt,A vibrant celebration of bohemian spirit this Zimmermann maxi skirt uses a rhythmic multicolor stripe pattern to create a sense of constant motion. The lightweight cotton fabric is punctuated by tiered ruffles that add volume and a romantic feel. With a belt on the waist it is a piece that feels right at home in a sun drenched garden or on a coastal getaway. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/41,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/38422870_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,356.00 USD,Pre-Owned Zimmermann
42,Pre-Owned Dolce & Gabbana Women's Metallic Lurex Mini Skirt,Dolce and Gabbana infuses shine into everyday dressing with this lurex mini skirt. The metallic finish catches light at every angle giving the flared silhouette extra presence. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/42,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/38422884_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,331.00 USD,Pre-Owned Dolce & Gabbana
43,Pre-Owned Givenchy Women's Denim Marble Washed Mini Skirt,Defined by its textured finish this Givenchy mini skirt is crafted in black denim with a marble washed effect across the surface. The structured cut holds its shape while the compact length works easily with both casual and styled looks. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/43,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38422219_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,348.00 USD,Pre-Owned Givenchy
44,Pre-Owned Versace Women's Viscose Medusa Head-Motif Miniskirt,A statement piece made for moments when bold styling takes center stage this Versace miniskirt stands out through color and iconic detailing. Crafted from viscose it offers a soft yet structured feel while the striking Medusa head motif as the belt buckle introduces unmistakable brand identity. The mini length keeps the look youthful and sharp Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/44,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38422309_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,458.00 USD,Pre-Owned Versace
45,Pre-Owned Balenciaga Women's Tweed Zip Up Mini Skirt,Black and white tweed gives this Balenciaga mini skirt a sharp graphic finish while the zip up detail adds a functional edge to the silhouette. The shorter length keeps it easy to style across seasons. Pair it with fitted knits oversized shirts or structured jackets for a balanced city look. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/45,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/38422329_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,430.00 USD,Pre-Owned Balenciaga
46,Pre-Owned Burberry Women's Synthetic Fil Coupandeacute Pencil Skirt,Fil coupe texture adds depth to this Burberry pencil skirt in black giving a fresh take on a classic silhouette. It holds its shape through the day. Style it with crisp shirts or fitted tops where the surface can stand out. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/46,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/38422316_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,373.00 USD,Pre-Owned Burberry
47,Pre-Owned Stella Mccartney Women's Denim Short Skirt,True to the designers commitment this Stella McCartney skirt is tailored from a premium grey denim. The design features a high waisted slightly A line silhouette with a subtle vintage wash that adds a lived in depth to the fabric. It is punctuated by classic four pocket styling and signature Stella McCartney logo engraved belt. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/47,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/38422213_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,530.00 USD,Pre-Owned Stella McCartney
48,Pre-Owned Dolce & Gabbana Women's Floral Printed Cotton And Silk Pleated Skirt,A vivid floral story runs through this Dolce and Gabbana skirt crafted in a cotton and silk blend with crisp pleats throughout. The white base is brought to life with red blooms creating movement as the fabric shifts. Its mid length cut balances structure with a light flowing finish. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/48,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/38422226_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,649.00 USD,Pre-Owned Dolce & Gabbana
49,Pre-Owned Dolce & Gabbana Women's Lace Mini Skirt,Feminine and chic this Dolce and Gabbana mini skirt is crafted from delicate lace in a sophisticated grey hue. Its romantic texture adds an elegant touch to any outfit. Pair it with a fitted blouse or blazer for an effortlessly polished look. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/49,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/38422275_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,334.00 USD,Pre-Owned Dolce & Gabbana
50,Pre-Owned Missoni Women's Stretch Knit Flared Midi Skirt,This Missoni midi skirt is crafted from stretch knit fabric and shaped with a subtle flare. The knit construction allows ease of movement while maintaining a defined silhouette. Designed for versatile styling it pairs well with fitted tops or knitwear delivering texture and rhythm through Missoni s distinctive textile approach. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/50,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/38422323_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,408.00 USD,Pre-Owned Missoni
51,Pre-Owned Marni Women's Printed Cotton Pencil Skirt,Marni s artistic print transforms this cotton pencil skirt into a wearable piece of modern design. It adds color and prints to a refined shape perfect for styling with simple tops. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/51,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/38422282_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,311.00 USD,Pre-Owned Marni
52,Pre-Owned Dolce & Gabbana Women's Floral Embroidered Cotton Blend Short Skirt,Intricate floral embroidery blooms across black cotton blend in this Dolce and Gabbana short skirt. The crisp cut and knee length give it a lively spirit perfect with a simple blouse or cropped knit. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/52,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/38422261_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,582.00 USD,Pre-Owned Dolce & Gabbana
53,Pre-Owned Isabel Marant Women's Leather Pleated Tiered Mini Skirt,This Isabel Marant black leather mini skirt folds into soft pleats that catch the light with every step. Tiered and easy to style it works just as well with a tucked shirt for the day as it does with boots in the evening. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/53,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/38422268_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,361.00 USD,Pre-Owned Isabel Marant
54,Pre-Owned Burberry Women's Velvet Ruffle Pencil Skirt,This Burberry skirt is fashioned in moss green velvet and finished with a ruffle at the front. It s classy unexpected and pairs beautifully with a crisp blouse or blazer. Shop women's clothing at MAYCSS — curated fashion for Black Friday and every season.,https://www.myacssstore.store/product/54,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/38422253_fpx.tif?op_sharpen=1&wid=1200&fmt=jpeg,in_stock,366.00 USD,Pre-Owned Burberry
